itemsets, count
"whole milk", 2513
"other vegetables", 1903
"rolls/buns", 1809
"soda", 1715
"yogurt", 1372
"bottled water", 1087
"root vegetables", 1072
"tropical fruit", 1032
"shopping bags", 969
"sausage", 924
"pastry", 875
"citrus fruit", 814
"bottled beer", 792
"newspapers", 785
"canned beer", 764
"pip fruit", 744
"whole milk,other vegetables", 736
"fruit/vegetable juice", 711
"whipped/sour cream", 705
"brown bread", 638
"domestic eggs", 624
"frankfurter", 580
"margarine", 576
"coffee", 571
"pork", 567
"whole milk,rolls/buns", 557
"yogurt,whole milk", 551
"butter", 545
"curd", 524
"beef", 516
"napkins", 515
"chocolate", 488
"whole milk,root vegetables", 481
"frozen vegetables", 473
"other vegetables,root vegetables", 466
"yogurt,other vegetables", 427
"chicken", 422
"other vegetables,rolls/buns", 419
"tropical fruit,whole milk", 416
"white bread", 414
"whole milk,soda", 394
"cream cheese ", 390
"waffles", 378
"rolls/buns,soda", 377
"salty snack", 372
"long life bakery product", 368
"dessert", 365
"tropical fruit,other vegetables", 353
"yogurt,rolls/buns", 338
"whole milk,bottled water", 338
"sugar", 333
"UHT-milk", 329
"whole milk,pastry", 327
"hamburger meat", 327
"berries", 327
"hygiene articles", 324
"other vegetables,soda", 322
"whole milk,whipped/sour cream", 317
"onions", 305
"rolls/buns,sausage", 301
"citrus fruit,whole milk", 300
"specialty chocolate", 299
"whole milk,pip fruit", 296
"whole milk,domestic eggs", 295
"whole milk,sausage", 294
"candy", 294
"tropical fruit,yogurt", 288
"bottled water,soda", 285
"citrus fruit,other vegetables", 284
"other vegetables,whipped/sour cream", 284
"misc. beverages", 279
"frozen meals", 279
"oil", 276
"butter milk", 275
"whole milk,butter", 271
"yogurt,soda", 269
"whole milk,newspapers", 269
"specialty bar", 269
"other vegetables,sausage", 265
"whole milk,fruit/vegetable juice", 262
"whole milk,curd", 257
"pip fruit,other vegetables", 257
"beverages", 256
"ham", 256
"yogurt,root vegetables", 254
"meat", 254
"whole milk,brown bread", 248
"ice cream", 246
"other vegetables,bottled water", 244
"tropical fruit,rolls/buns", 242
"soda,shopping bags", 242
"whole milk,shopping bags", 241
"hard cheese", 241
"sliced cheese", 241
"rolls/buns,root vegetables", 239
"soda,sausage", 239
"margarine,whole milk", 238
"rolls/buns,bottled water", 238
"cat food", 229
"other vegetables,shopping bags", 228
"whole milk,other vegetables,root vegetables", 228
"yogurt,bottled water", 226
"other vegetables,pastry", 222
"grapes", 220
"other vegetables,domestic eggs", 219
"yogurt,whole milk,other vegetables", 219
