itemsets, count
"whole milk", 2513
"other vegetables", 1903
"rolls/buns", 1809
"soda", 1715
"yogurt", 1372
"bottled water", 1087
"root vegetables", 1072
"tropical fruit", 1032
"shopping bags", 969
"sausage", 924
"pastry", 875
"citrus fruit", 814
"bottled beer", 792
"newspapers", 785
"canned beer", 764
"pip fruit", 744
"other vegetables,whole milk", 736
"fruit/vegetable juice", 711
"whipped/sour cream", 705
"brown bread", 638
"domestic eggs", 624
"frankfurter", 580
"margarine", 576
"coffee", 571
"pork", 567
"rolls/buns,whole milk", 557
"yogurt,whole milk", 551
"butter", 545
"curd", 524
"beef", 516
"napkins", 515
"chocolate", 488
"root vegetables,whole milk", 481
"frozen vegetables", 473
"root vegetables,other vegetables", 466
"other vegetables,yogurt", 427
"chicken", 422
"rolls/buns,other vegetables", 419
"tropical fruit,whole milk", 416
"white bread", 414
"soda,whole milk", 394
"cream cheese ", 390
"waffles", 378
"rolls/buns,soda", 377
"salty snack", 372
"long life bakery product", 368
"dessert", 365
"other vegetables,tropical fruit", 353
"bottled water,whole milk", 338
"rolls/buns,yogurt", 338
"sugar", 333
"UHT-milk", 329
"berries", 327
"hamburger meat", 327
"pastry,whole milk", 327
"hygiene articles", 324
"other vegetables,soda", 322
"whipped/sour cream,whole milk", 317
"onions", 305
"rolls/buns,sausage", 301
"citrus fruit,whole milk", 300
"specialty chocolate", 299
"pip fruit,whole milk", 296
"domestic eggs,whole milk", 295
"candy", 294
"sausage,whole milk", 294
"tropical fruit,yogurt", 288
"bottled water,soda", 285
"other vegetables,whipped/sour cream", 284
"citrus fruit,other vegetables", 284
"frozen meals", 279
"misc. beverages", 279
"oil", 276
"butter milk", 275
"butter,whole milk", 271
"specialty bar", 269
"newspapers,whole milk", 269
"yogurt,soda", 269
"sausage,other vegetables", 265
"fruit/vegetable juice,whole milk", 262
"curd,whole milk", 257
"pip fruit,other vegetables", 257
"ham", 256
"beverages", 256
"meat", 254
"root vegetables,yogurt", 254
"brown bread,whole milk", 248
"ice cream", 246
"bottled water,other vegetables", 244
"shopping bags,soda", 242
"rolls/buns,tropical fruit", 242
"sliced cheese", 241
"hard cheese", 241
"shopping bags,whole milk", 241
"sausage,soda", 239
"rolls/buns,root vegetables", 239
"margarine,whole milk", 238
"bottled water,rolls/buns", 238
"cat food", 229
"other vegetables,shopping bags", 228
"root vegetables,other vegetables,whole milk", 228
"bottled water,yogurt", 226
"other vegetables,pastry", 222
"grapes", 220
"domestic eggs,other vegetables", 219
"other vegetables,yogurt,whole milk", 219
